ID,FEMALE,MINORITY,MOM_ED,DAD_ED,SES_CONT,MATH_pre,Trt_rand,Trt_non_rand
1,0,0,Some college,Vocational/technical program,-0.27,18.68,1,1
2,1,0,Vocational/technical program,Some college,-0.03,30.58,0,1
3,1,0,Some college,Bachelor's degree,0.48,31.57,0,0
4,1,0,HS diploma or equivalent,HS diploma or equivalent,-0.03,31.41,0,1
5,1,0,HS diploma or equivalent,HS diploma or equivalent,-0.66,24.24,1,1
6,0,0,Master's degree,Master's degree,1.53,49.75,1,0
7,1,0,HS diploma or equivalent,Some college,0.2,27.1,0,1
8,0,0,Some college,HS diploma or equivalent,0.07,27.35,0,1
9,1,1,HS diploma or equivalent,Some college,-0.32,25.14,1,1
10,0,0,Bachelor's degree,Bachelor's degree,0.96,41.88,1,0
11,1,0,Some college,Master's degree,0.65,72.91,1,0
12,1,0,HS diploma or equivalent,Vocational/technical program,-0.18,28.46,0,1
13,1,0,Bachelor's degree,Master's degree,0.96,90.63,0,0
14,1,0,Bachelor's degree,Bachelor's degree,1.3,35.53,0,0
15,0,1,Bachelor's degree,Bachelor's degree,0.71,40.84,0,0
16,1,0,HS diploma or equivalent,Some college,0.17,43.99,0,1
17,0,0,Bachelor's degree,Master's degree,1.22,39.63,0,0
18,1,1,HS diploma or equivalent,Some college,-0.2,40.68,1,1
19,0,0,Some college,Bachelor's degree,0.45,30.49,0,0
20,1,0,Some college,Some college,0.32,29.97,1,0
21,0,1,Some college,Bachelor's degree,0.5,40.68,0,0
22,1,0,Bachelor's degree,Bachelor's degree,1.05,37.23,0,0
23,1,0,Bachelor's degree,Bachelor's degree,0.25,32.89,1,0
24,1,0,Bachelor's degree,Bachelor's degree,1.27,62.61,1,0
25,0,1,Bachelor's degree,Some college,0.8,31.76,1,0
26,0,0,Master's degree,Master's degree,1.55,37.57,0,0
27,1,1,8th grade or below,8th grade or below,-1.1,24.1,0,1
28,0,1,Master's degree,HS diploma or equivalent,0.64,45.16,1,0
29,1,1,Some college,HS diploma or equivalent,-0.38,32.12,0,1
30,0,0,Some college,HS diploma or equivalent,-0.28,26.48,1,1
31,0,0,Bachelor's degree,Master's degree,1.25,24.06,0,0
32,1,0,Master's degree,Bachelor's degree,1.57,49.56,1,0
33,1,1,Bachelor's degree,Bachelor's degree,0.58,34.03,0,0
34,1,0,HS diploma or equivalent,Bachelor's degree,0,52.38,0,1
35,1,1,HS diploma or equivalent,HS diploma or equivalent,-0.33,33.02,1,1
36,1,1,Master's degree,Dctorate degree or professional degree,2.19,50.91,1,0
37,0,1,9th - 12th grade,9th - 12th grade,-0.78,39.78,0,1
38,1,0,Bachelor's degree,Bachelor's degree,0.9,30.79,1,0
39,1,1,Some college,HS diploma or equivalent,0.24,41.18,0,0
40,1,0,Vocational/technical program,Bachelor's degree,0.67,49.29,0,0
41,0,0,Bachelor's degree,Dctorate degree or professional degree,1.6,41.13,1,0
42,1,0,Some college,Some college,0.15,35.56,1,1
43,1,0,HS diploma or equivalent,Some college,-0.15,36.05,0,1
44,0,0,Bachelor's degree,Bachelor's degree,0.42,72.45,1,0
45,0,0,Some college,Some college,0.31,43.96,1,0
46,1,0,Master's degree,Bachelor's degree,1.27,53.45,0,0
47,0,0,HS diploma or equivalent,Vocational/technical program,-0.24,27.89,1,1
48,1,0,Some college,HS diploma or equivalent,-0.03,27.57,1,1
49,1,0,Master's degree,HS diploma or equivalent,1.08,41.93,0,0
50,0,1,Some college,Some college,0.11,34.78,0,1
51,1,0,Dctorate degree or professional degree,Master's degree,1.5,83.48,0,0
52,1,0,HS diploma or equivalent,HS diploma or equivalent,-0.51,22.56,0,1
53,1,0,HS diploma or equivalent,Bachelor's degree,0.04,50.58,1,1
54,1,1,HS diploma or equivalent,Vocational/technical program,-0.29,23.2,0,1
55,1,0,Bachelor's degree,Dctorate degree or professional degree,1.91,55.29,1,0
56,1,0,Master's degree,Bachelor's degree,1.11,60.18,1,0
57,0,0,HS diploma or equivalent,9th - 12th grade,-0.26,47,0,1
58,1,0,Bachelor's degree,Graduate or professional school but no degree,1.1,42.59,1,0
59,0,0,Some college,Bachelor's degree,0.47,39.56,0,0
60,0,1,Some college,Some college,-0.15,26.13,0,1
61,0,0,Some college,Some college,0.08,40.3,0,1
62,0,0,HS diploma or equivalent,HS diploma or equivalent,-0.31,26.56,0,1
63,1,1,Some college,Some college,-0.32,29.56,0,1
64,0,0,HS diploma or equivalent,Vocational/technical program,-0.33,37.38,1,1
65,0,0,Bachelor's degree,Bachelor's degree,0.54,24.02,0,0
66,1,0,HS diploma or equivalent,Some college,-0.18,35.3,0,1
67,1,0,HS diploma or equivalent,Vocational/technical program,-0.39,35.93,0,1
68,1,0,HS diploma or equivalent,Bachelor's degree,0.24,39.57,0,0
69,1,1,Dctorate degree or professional degree,Dctorate degree or professional degree,2.27,65.12,0,0
70,1,1,Master's degree,Dctorate degree or professional degree,1.93,50.5,1,0
71,0,1,Some college,Master's degree,0.73,68.27,1,0
72,0,0,Some college,Bachelor's degree,0.84,22.32,1,0
73,1,0,Some college,Some college,0.86,34.48,1,0
74,1,1,Some college,HS diploma or equivalent,-0.13,26.3,0,1
75,1,0,Bachelor's degree,Bachelor's degree,0.26,56.27,1,0
76,0,0,Some college,Bachelor's degree,0.54,33.37,0,0
77,0,0,Bachelor's degree,Some college,1.19,38.76,1,0
78,1,0,Vocational/technical program,Bachelor's degree,0.7,27.41,1,0
79,1,0,Graduate or professional school but no degree,Some college,1.15,30.01,0,0
80,0,1,Bachelor's degree,Some college,0.08,29.04,0,1
81,1,0,Some college,Some college,0.26,30.64,0,0
82,1,0,Master's degree,Master's degree,1.69,67.65,0,0
83,1,0,Master's degree,Bachelor's degree,1.21,43.09,0,0
84,1,0,Dctorate degree or professional degree,Dctorate degree or professional degree,2.56,37.98,1,0
85,0,1,Some college,Some college,-0.07,31.82,0,1
86,0,0,Some college,Bachelor's degree,0.18,36.88,1,1
87,1,0,Bachelor's degree,HS diploma or equivalent,-0.06,50.36,1,1
88,0,1,Bachelor's degree,Bachelor's degree,1.06,31.46,1,0
89,0,0,HS diploma or equivalent,HS diploma or equivalent,-0.39,51.65,0,1
90,1,0,HS diploma or equivalent,Some college,0.16,36.35,1,1
91,1,1,Graduate or professional school but no degree,Some college,0.69,38.64,1,0
92,1,0,Vocational/technical program,Bachelor's degree,0.46,40.68,1,0
93,0,0,Master's degree,Master's degree,1.61,54.34,0,0
94,1,0,Some college,Some college,0.4,40.69,0,0
95,1,0,Master's degree,Bachelor's degree,0.88,36.56,1,0
